"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-04","11.86",,"0.00","0.0",,"63","70","48","  320","  330","25.9","32.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-05","12.97",,"0.00","0.0",,"51","58","44","  320","  340","21.9","34.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-06","9.17",,"0.01","0.0",,"47","51","41","  120","  110","17.0","23.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-07","9.40",,"0.00","0.0",,"51","64","42","  240","  240","21.9","29.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-08","11.86",,"0.25","0.0",,"52","57","43","  220","  220","23.0","34.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-09","19.69",,"0.12","0.0",,"41","44","36","  280","  270","33.1","47.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-10","14.76",,"0.00","0.0",,"44","60","34","  260","  280","29.1","36.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-11","11.86",,"0.23","0.0",,"52","62","44","  180","  230","28.0","36.9",,,,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-12","15.66",,"0.00","0.0",,"48","56","41","  270","  280","23.0","32.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-13","12.75",,"0.00","0.0",,"48","60","37","  270","  270","25.1","35.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-14","11.18",,"0.00","0.0",,"57","69","45","  210","  260","19.9","27.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-15","10.96",,"0.67","0.0",,"60","74","51","  310","  320","30.0","40.0","    1",,"    1",,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-16","12.97",,"0.04","0.0",,"63","68","49","  330","  320","23.9","34.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-17","8.50",,"0.00","0.0",,"54","63","49","  110","  220","17.0","19.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-18","8.28",,"0.00","0.0",,"54","58","47","   80","   80","16.1","18.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-19","12.30",,"0.00","0.0",,"51","55","47","   50","   50","23.9","31.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-20","8.50",,"0.00","0.0",,"51","58","45","  100","  120","14.1","16.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-21","11.18",,"0.00","0.0",,"58","77","45","  200","  200","21.0","27.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-22","14.09",,"0.00","0.0",,"67","82","54","  210","  240","21.0","28.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-23","15.43",,"0.00","0.0",,"62","72","47","   50","   50","29.1","36.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-24","11.86",,"0.00","0.0",,"50","54","44","   70","   70","19.9","23.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-25","6.49",,"0.00","0.0",,"50","55","48","   80","   80","12.1","14.1","    1","    1",,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-26","6.71",,"0.00","0.0",,"56","70","50","   90","   90","16.1","19.0","    1","    1",,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-27","11.63",,"0.00","0.0",,"70","83","60","  200","  190","19.9","25.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-28","13.65",,"0.00","0.0",,"71","78","64","  220","  220","21.0","25.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-29","16.33",,"0.00","0.0",,"73","81","66","  220","  220","29.1","40.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-30","11.41",,"0.09","0.0",,"73","80","65","  300","  290","21.0","28.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-31","14.76",,"0.00","0.0",,"65","68","50","  330","  320","23.9","32.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-01","10.96",,"0.00","0.0",,"56","64","47","  300","  310","21.0","28.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-02","8.50",,"0.02","0.0",,"56","64","49","  110","  110","19.9","21.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-03","7.38",,"0.01","0.0",,"65","80","55","  270","  260","18.1","23.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-04","8.50",,"0.00","0.0",,"74","89","59","  230","  190","18.1","23.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-05","11.41",,"0.16","0.0",,"72","81","64","  230","  220","21.0","27.1","    1",,"    1",,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-06","10.51",,"0.14","0.0",,"75","89","62","  270","  300","21.9","32.0",,,"    1",,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-07","9.84",,"0.00","0.0",,"62","65","57","  330","  330","19.9","25.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-08","8.28",,"0.00","0.0",,"66","79","55","  310","  320","17.0","23.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-06-09","5.59",,"0.00","0.0",,"67","80","60","  110","  230","13.0","15.0",,,,,,,
